Angle;monolithic;monolithic_cubemap;tiles;viewport_dependent;tiles_partial;viewport_only;viewport_only_modified
-180;0;1.2;-1.4;-0.9;-2.3;0.4;0.4
-170;0;1.1;-1.35;-0.9;-2.3;0.4;0.4
-160;0;0.9;-1.25;-0.9;-2.3;0.4;0.4
-150;0;0.8;-1.25;-0.8;-2.3;0.4;0.4
-140;0;0.75;-1.25;-0.5;-2.3;0.4;0.4
-130;0;0.7;-0.95;-0.2;-2.3;0.4;0.4
-120;0;0.8;-0.65;0;-2.3;0.4;0.4
-110;0;0.85;-0.45;0.2;-2.3;0.4;0.4
-100;0;0.95;-0.25;0.4;-2.3;0.4;0.4
-90;0;0.9;-0.15;0.7;-2.3;0.4;0.4
-80;0;0.85;0.15;0.9;-2.3;0.4;0.4
-70;0;0.75;0.45;1.05;-2.3;0.4;0.4
-60;0;0.7;0.65;1.05;-2.3;0.4;0.4
-50;0;0.65;1.15;1.25;-2.3;0.4;0.4
-40;0;0.7;1.9;1.5;3.65;0.4;0.4
-30;0;0.8;1.85;1.7;3.6;0.4;0.4
-20;0;0.95;1.85;2;3.6;0.4;0.4
-10;0;1.1;1.85;2.25;3.6;0.4;6.2
0;0;1.2;1.8;2.35;3.55;6.2;6.2
10;0;1.15;1.9;2.25;3.65;0.4;6.2
20;0;1;1.95;1.9;3.7;0.4;0.4
30;0;0.8;1.95;1.55;3.7;0.4;0.4
40;0;0.75;2;1.5;3.75;0.4;0.4
50;0;0.75;1.3;1.15;-2.3;0.4;0.4
60;0;0.8;0.75;1.1;-2.3;0.4;0.4
70;0;0.85;0.45;1.1;-2.3;0.4;0.4
80;0;0.95;0.15;1;-2.3;0.4;0.4
90;0;1.05;-0.15;0.7;-2.3;0.4;0.4
100;0;1;-0.25;0.4;-2.3;0.4;0.4
110;0;0.9;-0.5;-0.05;-2.3;0.4;0.4
120;0;0.8;-0.85;-0.45;-2.3;0.4;0.4
130;0;0.75;-1.2;-0.7;-2.3;0.4;0.4
140;0;0.8;-1.35;-0.6;-2.3;0.4;0.4
150;0;0.85;-1.3;-0.65;-2.3;0.4;0.4
160;0;1;-1.3;-0.7;-2.3;0.4;0.4
170;0;1.15;-1.3;-0.8;-2.3;0.4;0.4
180;0;1.2;-1.4;-0.9;-2.3;0.4;0.4
