Angle;monolithic;monolithic_cubemap;tiles;viewport_dependent;tiles_partial;viewport_only;viewport_only_modified
-180;0;0.85;-1.7;-1.7;-3.8;0.6;0.6
-170;0;0.75;-1.7;-1.6;-3.8;0.6;0.6
-160;0;0.6;-1.75;-1.5;-3.8;0.6;0.6
-150;0;0.5;-1.8;-1.35;-3.8;0.6;0.6
-140;0;0.45;-1.75;-1.15;-3.8;0.6;0.6
-130;0;0.5;-1.55;-0.9;-3.8;0.6;0.6
-120;0;0.55;-1.2;-0.6;-3.8;0.6;0.6
-110;0;0.65;-0.95;-0.3;-3.8;0.6;0.6
-100;0;0.8;-0.7;0;-3.8;0.6;0.6
-90;0;0.95;-0.4;0.45;-3.8;0.6;0.6
-80;0;0.85;-0.05;1;-3.8;0.6;0.6
-70;0;0.65;0.5;1.4;-3.8;0.6;0.6
-60;0;0.45;1.1;1.5;-3.8;0.6;0.6
-50;0;0.25;1.95;1.7;-3.8;0.6;0.6
-40;0;0.2;2.5;1.7;4.6;0.6;0.6
-30;0;0.25;2.55;1.95;4.65;0.6;0.6
-20;0;0.4;2.55;2.35;4.65;0.6;0.6
-10;0;0.6;2.6;2.7;4.7;0.6;9
0;0;0.75;2.6;2.9;4.7;9;9
10;0;0.5;2.55;2.7;4.65;0.6;9
20;0;0.35;2.5;2.3;4.6;0.6;0.6
30;0;0.2;2.45;1.85;4.55;0.6;0.6
40;0;0.1;2.45;1.6;4.55;0.6;0.6
50;0;0.2;1.6;1.44;-3.8;0.6;0.6
60;0;0.3;0.95;1.35;-3.8;0.6;0.6
70;0;0.45;0.35;1.2;-3.8;0.6;0.6
80;0;0.65;-0.05;0.85;-3.8;0.6;0.6
90;0;0.8;-0.35;0.4;-3.8;0.6;0.6
100;0;0.7;-0.5;0.05;-3.8;0.6;0.6
110;0;0.55;-0.7;-0.35;-3.8;0.6;0.6
120;0;0.4;-1.05;-0.7;-3.8;0.6;0.6
130;0;0.35;-1.4;-0.95;-3.8;0.6;0.6
140;0;0.35;-1.6;-1.15;-3.8;0.6;0.6
150;0;0.45;-1.6;-1.25;-3.8;0.6;0.6
160;0;0.55;-1.6;-1.4;-3.8;0.6;0.6
170;0;0.74;-1.6;-1.6;-3.8;0.6;0.6
180;0;0.85;-1.7;-1.7;-3.8;0.6;0.6
