Time,Angle
1,-75
36,-76
57,-77
78,-79
100,-81
142,-83
164,-84
185,-85
206,-86
228,-87
249,-88
270,-89
292,-91
313,-92
356,-93
377,-94
398,-95
441,-96
462,-97
484,-98
526,-99
569,-100
590,-101
633,-102
676,-103
718,-104
761,-105
804,-106
868,-107
910,-108
953,-109
996,-110
1038,-111
1081,-112
1124,-113
1166,-114
1209,-115
1252,-116
1294,-117
1316,-118
1358,-119
1380,-120
1401,-121
1422,-122
1444,-123
1465,-124
1486,-125
1508,-126
1529,-127
1550,-129
1572,-130
1593,-131
1614,-132
1636,-134
1678,-136
1700,-137
1721,-141
1742,-142
1764,-146
1785,-150
1806,-154
1828,-158
1849,-160
1870,-164
1892,-169
1913,-172
1934,-175
1956,-176
1977,-179
1998,179
2020,177
2041,176
2062,174
2084,172
2105,171
2126,170
2148,169
2169,168
2212,167
2254,166
2404,165
2745,166
2830,167
3001,168
3065,169
3129,170
3172,171
3214,172
3342,171
3406,170
3449,169
3470,168
3513,167
3556,166
3598,165
3641,164
3684,163
3705,162
3748,161
3812,160
3854,159
3897,158
3940,157
3982,155
4004,154
4025,153
4046,152
4068,151
4089,150
4110,149
4132,148
4153,147
4174,146
4196,145
4217,144
4260,143
4281,142
4302,141
4324,140
4366,139
4388,138
4452,137
4494,136
4665,137
4708,138
4750,139
4772,140
4793,141
4836,142
4857,143
4878,144
4921,145
4964,146
4985,147
5028,148
5070,149
5134,150
5220,151
5369,152
5454,153
5540,154
5625,155
5796,156
6009,157
6436,158
6649,159
6841,160
6905,161
6969,162
7033,163
7054,164
7097,165
7118,166
7161,167
7182,168
7225,169
7246,171
7268,172
7310,174
7332,175
7353,176
7374,177
7396,178
7417,180
7438,-179
7460,-178
7481,-177
7502,-175
7524,-174
7545,-172
7566,-169
7588,-168
7609,-166
7630,-164
7652,-162
7673,-161
7694,-159
7716,-157
7737,-154
7758,-151
7780,-149
7801,-147
7822,-144
7844,-141
7865,-139
7886,-135
7908,-133
7929,-130
7950,-128
7972,-127
7993,-125
8014,-124
8036,-122
8056,-121
8078,-120
8100,-119
8120,-118
8184,-117
8228,-116
8292,-115
8356,-114
8377,-113
8420,-112
8441,-111
8462,-110
8484,-108
8505,-107
8526,-105
8548,-104
8569,-103
8590,-102
8612,-101
8633,-100
8654,-99
8697,-97
8740,-96
8761,-95
8804,-94
8825,-93
8868,-92
8889,-91
8932,-90
8974,-89
9038,-88
9102,-87
9209,-86
9401,-87
9508,-88
9572,-87
9636,-86
9657,-85
9678,-84
9700,-83
9721,-82
9764,-81
9806,-80
9892,-81
9956,-82
10041,-83
10084,-84
10105,-85
10126,-86
10148,-87
10169,-88
10190,-89
10212,-90
10233,-91
10254,-92
10276,-93
10297,-94
10318,-96
10340,-97
10361,-98
10382,-99
10404,-101
10425,-102
10446,-103
10468,-104
10489,-106
10510,-108
10532,-110
10574,-112
10596,-114
10617,-116
10638,-117
10660,-119
10681,-121
10702,-123
10724,-125
10766,-127
10788,-130
10809,-133
10830,-134
10852,-136
10873,-138
10894,-140
10916,-142
10937,-143
10958,-145
10980,-147
11001,-149
11022,-150
11044,-151
11065,-152
11086,-154
11108,-155
11129,-156
11150,-157
11172,-158
11193,-160
11236,-161
11257,-162
11278,-163
11300,-165
11321,-166
11364,-167
11385,-168
11406,-169
11428,-170
11449,-171
11470,-172
11492,-173
11513,-174
11534,-175
11556,-176
11577,-178
11620,180
11641,179
11662,177
11705,175
11726,174
11748,173
11769,172
11790,171
11812,169
11833,168
11854,167
11897,166
11918,165
11940,163
11961,162
12004,161
12025,160
12046,159
12068,158
12110,157
12153,156
12345,157
12430,158
12494,159
12580,160
12686,161
12836,160
13006,159
13241,160
13369,161
13433,162
13454,163
13497,164
13540,165
13561,167
13604,168
13646,169
13668,170
13710,171
13732,172
13774,173
13838,174
13902,175
13966,176
14052,177
14222,178
14372,177
14756,176
14820,175
14862,174
14884,173
14905,172
14926,171
14969,170
14990,169
15012,168
15054,167
15076,166
15118,165
15161,164
15204,163
15246,162
15289,161
15353,160
15396,159
15502,158
15929,157
16441,158
16569,159
16676,160
16761,161
16868,162
16953,163
17038,164
17145,165
17252,166
17593,165
17657,164
17742,163
17806,162
17892,161
17956,160
18126,161
18361,160
18489,159
18638,160
18724,161
18809,162
18958,163
19086,164
19364,165
19513,166
19726,165
19854,164
19897,163
20068,164
20644,165
20665,164
20708,165
20729,164
20836,165
21177,166
21220,167
21262,169
21284,173
21305,177
21326,-178
21348,-172
21369,-162
21390,-157
21412,-155
21433,-151
21454,-148
21476,-145
21497,-142
21518,-141
21540,-140
21561,-138
21582,-137
21625,-136
21646,-135
21668,-134
21689,-133
21753,-132
21817,-131
21924,-130
22116,-129
22265,-128
22393,-129
22521,-130
22606,-131
22628,-132
22670,-133
22692,-135
22713,-137
22734,-139
22756,-141
22777,-143
22798,-148
22820,-151
22841,-153
22862,-155
22884,-158
22905,-160
22926,-162
22948,-164
22969,-166
22990,-168
23012,-170
23033,-171
23054,-172
23076,-173
23097,-174
23118,-176
23140,-177
23161,-178
23204,-179
23225,180
23268,179
23289,178
23396,177
23545,178
23737,177
23822,178
23865,177
23972,178
24057,177
24249,176
24270,175
24313,174
24334,173
24377,172
24398,171
24420,169
24441,168
24462,167
24505,166
24526,165
24548,164
24569,163
24590,162
24612,161
24633,160
24654,159
24697,158
24718,157
24740,155
24782,154
24804,153
24846,152
24889,151
24932,150
24974,149
25038,148
25124,147
25209,148
25294,149
25358,150
25401,151
25422,152
25465,153
25486,154
25508,155
25550,156
25572,157
25593,158
25636,159
25657,160
25678,161
25700,162
25742,163
25764,164
25785,165
25828,166
25849,167
25870,168
25892,169
25934,170
25977,171
25998,172
26041,173
26148,174
26212,173
26446,174
26553,173
26745,172
26916,171
27001,172
27257,173
27513,174
27940,175
29689,174
29753,173
29796,172
29838,171
29881,170
29924,169
29966,168
30030,167
31246,166
31545,165
34297,164
34404,163
35790,164
36238,165
36366,166
36409,167
36452,168
36537,169
36601,170
36708,171
36921,172
37113,173
37838,174
37966,173
39289,172
40953,171
41188,170
41252,169
41273,168
41294,167
41316,165
41337,163
41358,161
41380,160
41401,158
41422,156
41444,154
41465,152
41508,150
41529,149
41550,148
41572,147
41614,146
41657,145
41721,146
41806,147
41870,148
42126,149
42148,148
42169,149
42297,150
42425,151
42873,152
43065,153
43150,154
43236,155
43300,156
43385,157
43470,158
43556,159
43641,160
43726,161
43812,162
43876,163
44004,164
44473,163
44814,162
45156,163
45198,164
45262,165
45284,166
45326,167
45348,168
45369,169
45412,170
45476,171
45518,172
45582,173
45689,174
45924,175
46222,174
46521,173
46606,172
46670,171
46734,170
46798,169
46862,168
47033,167
47161,168
47268,167
47758,168
47844,169
47929,170
48100,171
48292,172
48441,171
49166,172
49465,173
49657,172
49870,173
50745,174
55182,173
55310,172
55396,171
55524,170
55566,169
55630,168
55673,167
55737,166
55865,165
55950,164
56014,163
56057,162
56100,161
56142,160
56164,159
56206,158
56228,157
56270,156
56334,155
56398,154
56718,153
56782,152
56825,151
56868,150
56910,149
57060,150
57145,151
57188,152
57252,153
57316,154
57401,155
57785,156
58276,155
58446,156
58638,157
58873,158
59214,157
59342,158
59449,159
59854,160
61540,161
61710,162
61817,163
61902,164
61966,165
62030,166
62073,167
62137,168
62180,169
62222,170
62308,171
62372,172
62500,173
62713,174
62841,175
62990,176
63502,177
63524,176
63737,175
64100,174
64398,175
64462,176
64505,177
64548,178
65508,179
65550,-180
65572,-178
65593,-173
65614,-169
65636,-167
65657,-162
65678,-157
65700,-152
65721,-147
65742,-145
65764,-140
65785,-137
65806,-134
65828,-133
65849,-131
65870,-130
65892,-129
65913,-128
65934,-127
65998,-126
66062,-125
66126,-124
66169,-123
66212,-122
66254,-121
66276,-120
66340,-119
66361,-118
66425,-117
66617,-118
66660,-119
66702,-120
66724,-121
66745,-122
66766,-123
66788,-124
66809,-125
66830,-127
66852,-129
66873,-131
66894,-133
66916,-135
66937,-138
66958,-140
66980,-142
67001,-145
67022,-148
67044,-151
67065,-155
67086,-158
67108,-161
67129,-164
67150,-167
67172,-169
67193,-172
67214,-176
67236,-179
67257,-180
67278,178
67300,176
67321,174
67342,172
67364,171
67385,169
67406,168
67428,167
67449,166
67470,165
67492,164
67513,163
67534,162
67556,161
67598,160
67641,159
67705,158
67790,157
67918,156
68174,157
68345,158
68516,159
68665,160
69028,161
69113,160
69134,161
69753,162
70436,163
71246,164
73806,165
73828,164
73849,165
73956,164
73977,165
74190,164
74233,165
74254,164
74276,165
74297,164
74340,165
80313,166
81657,167
81700,166
81828,167
81934,166
82873,167
82937,166
84366,165
84388,163
84409,161
84430,160
84452,157
84473,154
84494,151
84516,148
84537,147
84558,144
84580,142
84601,140
84622,138
84665,136
84686,135
84708,133
84750,131
84772,130
84793,129
84814,128
84857,127
84878,125
84900,124
84942,123
84964,122
84985,121
85006,120
85049,118
85092,117
85134,116
85156,115
85177,114
85198,113
85220,112
85241,111
85262,110
85284,109
85305,108
85326,107
85369,105
85412,104
85433,103
85454,101
85497,100
85518,99
85540,98
85561,97
85582,96
85604,95
85625,94
85646,93
85668,92
85689,91
85710,90
85732,88
85753,87
85796,85
85817,84
85838,82
85860,80
85881,79
85902,78
85924,76
85945,75
85966,74
85988,73
86009,71
86030,69
86052,68
86094,66
86116,65
86137,64
86158,63
86180,61
86201,59
86222,58
86244,57
86265,56
86286,54
86308,53
86329,51
86350,50
86372,49
86393,48
86414,47
86436,46
86478,45
86500,44
86521,43
86969,44
87076,45
87566,46
88206,47
88270,48
88313,49
88398,50
88484,51
88526,52
88548,53
88569,54
88590,55
88612,56
88633,58
88654,59
88676,61
88697,63
88718,65
88740,67
88761,71
88782,74
88804,78
88825,82
88846,84
88868,89
88889,93
88910,98
88932,102
88953,107
88974,111
88996,115
89017,117
89038,121
89060,124
89081,127
89102,131
89124,132
89145,134
89166,135
89188,137
89209,138
89230,139
89252,141
89273,142
89294,143
89337,144
89358,145
89380,146
89401,147
89422,148
89465,149
89550,150
89657,151
89828,152
90126,151
90169,150
90212,149
90233,148
90254,147
90297,146
90318,145
90340,144
90382,143
90404,141
90425,140
90446,139
90468,138
90489,137
90510,136
90532,134
90553,133
90574,132
90596,130
90617,128
90638,127
90660,126
90681,124
90702,123
90724,120
90745,119
90766,118
90788,116
90809,114
90830,112
90852,111
90873,108
90894,106
90916,104
90937,103
90958,101
90980,99
91001,97
91022,95
91044,93
91065,90
91086,87
91108,85
91129,83
91150,81
91172,78
91193,75
91214,72
91236,69
91257,66
91278,64
91300,61
91321,59
91342,57
91364,53
91385,51
91406,50
91428,47
91449,45
91470,43
91492,42
91513,41
91534,38
91556,37
91577,36
91620,35
91662,34
91726,33
91790,32
91918,33
91982,34
92046,35
92068,36
92110,37
92132,38
92153,39
92174,40
92196,42
92217,43
92238,45
92260,47
92281,48
92302,50
92324,52
92345,55
92366,56
92388,58
92409,60
92430,62
92452,64
92473,65
92494,68
92516,70
92537,72
92558,75
92580,76
92601,78
92622,81
92644,83
92665,86
92686,89
92708,92
92729,96
92750,98
92772,102
92793,106
92814,110
92836,116
92857,118
92878,122
92900,125
92921,128
92942,129
92964,132
92985,135
93006,137
93028,138
93049,139
93070,141
93092,143
93113,145
93156,148
93177,150
93198,151
93220,153
93241,154
93262,155
93284,157
93305,158
93326,159
93348,160
93369,161
93390,162
93433,163
93476,164
93518,165
93582,166
93646,167
93710,168
93796,169
94137,168
94265,167
94350,166
94670,165
94777,164
94990,163
95225,162
95417,161
97380,160
97721,161
97828,160
97849,161
98617,160
99150,161
99364,160
99449,161
106468,160
106574,161
106681,160
109710,159
110158,160
110393,161
110478,162
110564,163
110692,162
110841,161
111310,160
111396,159
111438,158
111481,157
111545,156
111609,155
111673,154
111716,153
111758,152
111865,153
111908,154
111950,155
111993,156
112142,155
112206,154
112249,153
112270,151
112292,149
112313,148
112334,146
112356,144
112377,142
112398,140
112420,138
112441,135
112462,133
112484,131
112505,130
112526,128
112548,127
112569,126
112590,124
112633,123
112676,122
112740,121
112846,120
112953,121
113273,122
113550,123
113614,124
113636,125
113678,126
113700,127
113721,128
113764,129
113870,130
114062,131
114212,132
114404,133
114532,134
114596,135
114660,136
114702,137
114745,138
114788,139
114873,140
115044,141
115108,142
115150,143
115193,144
115236,145
115300,146
115342,147
115406,148
115428,149
115470,150
115513,151
115556,152
115577,153
115598,155
115620,156
115641,158
115662,160
115684,162
115705,163
115726,165
115748,167
115769,168
115790,169
115812,170
115833,172
115854,173
115876,174
115897,175
115918,176
115940,177
115982,178
116004,179
116025,180
116046,-180
116068,-179
116089,-178
116110,-177
116132,-176
116174,-175
116196,-174
116260,-173
116302,-172
116345,-171
116366,-170
116388,-169
116409,-168
116430,-167
116473,-166
116494,-164
116537,-163
116580,-162
116601,-161
116665,-160
116729,-161
116814,-162
116857,-163
116878,-164
116900,-165
116942,-166
116964,-168
116985,-169
117006,-170
117028,-171
117049,-172
117070,-174
117092,-176
117113,-177
117134,180
117156,178
117177,175
117198,174
117220,172
117241,169
117262,166
117284,163
117305,160
117326,158
117348,156
117369,153
117390,152
117412,150
117433,149
117454,146
117476,145
117497,144
117518,142
117540,141
117561,140
117604,139
117625,137
117646,136
117689,135
117732,134
117753,133
117796,132
117881,131
118052,132
118222,131
118286,130
118372,129
118436,128
118542,127
118798,128
118969,129
119204,130
119268,131
119332,132
119374,133
119417,134
119438,135
119460,136
119502,137
119524,138
119566,140
119609,141
119652,142
119737,143
119908,144
119993,145
120078,146
120121,147
120228,148
120334,149
120505,150
120676,151
120782,152
120868,153
121038,154
121166,155
121230,156
121294,157
121337,158
121358,159
121422,160
121444,161
121486,162
121508,163
121529,164
121572,165
121614,166
121636,167
121657,168
121700,169
121892,168
121977,167
122041,166
122126,165
122190,164
122254,163
122297,162
122318,161
122382,160
122446,159
122553,158
122788,159
122894,158
122958,157
123044,156
123193,157
123257,158
123342,157
123406,156
123428,157
123470,158
123492,159
123513,161
123534,164
123556,169
123577,173
123598,178
123620,-178
123641,-176
123662,-174
123684,-173
123705,-171
123726,-170
123748,-169
123769,-170
123790,-169
123812,-170
123833,-172
123876,-174
123897,-175
123918,-177
123940,-178
123961,-179
123982,179
124004,177
124025,174
124046,172
124068,170
124089,167
124110,165
124132,163
124174,162
124196,161
124238,160
124516,159
124665,158
124750,159
124857,160
124900,161
124964,162
125049,163
125156,164
125220,163
125241,164
125305,163
125433,162
125540,161
125625,160
125668,159
125732,158
