Time,Angle
1,-53
97,-52
139,-51
182,-50
225,-49
246,-48
267,-47
289,-46
310,-45
331,-43
353,-42
374,-41
417,-40
459,-39
523,-38
587,-37
630,-36
673,-34
694,-33
715,-32
737,-31
758,-30
779,-29
801,-28
822,-26
865,-24
886,-23
907,-22
929,-21
950,-20
971,-19
993,-17
1013,-16
1057,-14
1078,-13
1099,-12
1121,-11
1142,-10
1163,-9
1185,-8
1206,-7
1249,-6
1270,-5
1291,-4
1313,-2
1334,-1
1355,0
1377,2
1398,3
1419,4
1441,5
1462,6
1483,9
1505,10
1526,11
1547,12
1569,14
1590,15
1611,16
1633,18
1654,19
1675,20
1697,21
1718,22
1739,23
1761,24
1782,25
1803,26
1825,27
1846,28
1867,29
1889,31
1931,32
1953,34
1995,35
2017,36
2059,37
2123,38
2209,37
2294,36
2337,35
2379,34
2401,33
2443,29
2465,28
2486,26
2507,25
2529,24
2550,23
2571,22
2593,21
2614,20
2635,19
2657,18
2678,17
2699,16
2742,15
2827,16
2870,17
2891,18
2913,19
2934,20
2955,21
2977,22
2998,23
3019,24
3062,25
3083,26
3105,27
3126,28
3275,27
3297,26
3318,25
3361,24
3403,23
3425,22
3467,21
3531,20
3574,19
3638,18
3659,17
3702,16
3745,15
3766,14
3809,13
3851,12
3873,11
3915,10
3937,9
3958,8
3979,7
4022,6
4043,5
4065,4
4107,3
4129,2
4150,1
4171,-0
4214,-1
4235,-3
4278,-4
4299,-5
4321,-6
4342,-7
4385,-8
4406,-9
4427,-10
4449,-11
4470,-12
4491,-13
4513,-14
4534,-15
4555,-16
4577,-17
4598,-18
4619,-19
4641,-21
4662,-22
4683,-23
4705,-24
4726,-27
4747,-29
4769,-30
4790,-31
4811,-33
4833,-35
4854,-37
4875,-39
4897,-42
4918,-44
4939,-46
4961,-47
4982,-49
5003,-51
5025,-53
5046,-56
5067,-58
5089,-60
5110,-62
5131,-64
5153,-65
5174,-67
5195,-69
5217,-73
5238,-74
5259,-76
5281,-78
5302,-80
5323,-82
5345,-83
5366,-85
5387,-87
5409,-88
5430,-89
5451,-91
5473,-93
5494,-94
5515,-96
5537,-98
5558,-100
5579,-102
5601,-104
5622,-105
5643,-107
5665,-109
5686,-112
5707,-113
5729,-115
5750,-117
5771,-118
5793,-119
5814,-120
5835,-122
5857,-123
5878,-124
5921,-125
6006,-126
6070,-127
6134,-128
6177,-129
6219,-130
6283,-131
6369,-132
6454,-133
6497,-134
6518,-135
6539,-136
6561,-137
6603,-139
6625,-140
6646,-141
6667,-143
6689,-144
6710,-145
6731,-146
6774,-147
6817,-148
6838,-149
6881,-150
6923,-151
6945,-152
6987,-153
7009,-154
7030,-155
7073,-156
7094,-157
7115,-158
7137,-159
7179,-160
7201,-161
7222,-162
7243,-163
7265,-164
7286,-165
7307,-166
7329,-167
7371,-168
7393,-169
7414,-170
7435,-171
7478,-172
7521,-173
7734,-174
7755,-175
7777,-176
7798,-178
7819,-179
7841,-180
7862,179
7883,177
7905,176
7926,175
7947,174
7969,173
7990,172
8011,171
8054,170
8075,169
8097,168
8139,167
8161,166
8181,165
8246,164
8395,163
8438,162
8459,161
8502,160
8523,159
8545,158
8566,157
8609,156
8715,157
8737,158
8758,160
8779,162
8801,164
8822,166
8843,167
8865,170
8886,171
8907,173
8929,176
8950,177
8971,178
8993,-179
9014,-178
9035,-176
9057,-175
9078,-173
9099,-171
9121,-169
9142,-167
9163,-166
9185,-165
9206,-163
9227,-162
9249,-160
9270,-159
9291,-158
9313,-157
9334,-156
9377,-155
9398,-154
9419,-153
9441,-152
9483,-151
9526,-150
9569,-149
9590,-148
9654,-147
9697,-146
9846,-145
9910,-144
9931,-143
9974,-142
10038,-141
10166,-142
10230,-143
10273,-144
10294,-145
10337,-146
10358,-147
10401,-148
10422,-149
10507,-150
10571,-149
10657,-148
10721,-147
10742,-146
10806,-145
10977,-144
11147,-145
11361,-146
11489,-147
11531,-146
11723,-147
11766,-148
11809,-149
11830,-150
11851,-151
11873,-152
11894,-153
11915,-154
11958,-155
11979,-156
12001,-157
12022,-158
12043,-159
12065,-160
12086,-161
12107,-163
12129,-164
12150,-165
12171,-167
12193,-169
12235,-170
12257,-172
12278,-173
12299,-174
12321,-175
12342,-177
12363,-179
12385,179
12406,178
12427,176
12449,173
12470,171
12491,168
12513,166
12534,164
12555,162
12577,159
12598,158
12619,156
12641,154
12662,151
12683,150
12705,148
12726,146
12747,144
12769,142
12811,140
12833,138
12854,137
12875,135
12918,133
12939,132
12961,131
12982,129
13003,128
13025,127
13046,126
13067,124
13110,123
13131,121
13153,119
13195,117
13217,116
13238,115
13259,114
13281,113
13302,112
13323,110
13345,108
13387,106
13409,105
13430,103
13451,102
13473,101
13494,100
13515,99
13537,98
13558,97
13579,96
13622,95
13643,94
13686,93
13729,92
13771,91
13814,90
13857,89
13921,88
13963,87
13985,86
14049,85
14070,84
14113,83
14134,82
14155,81
14198,80
14241,79
14283,78
14305,77
14369,76
14411,75
14454,74
14497,73
14539,72
14582,71
14625,70
14667,69
14710,68
14774,67
14817,66
14838,65
14881,64
14945,63
14987,62
15051,61
15115,60
15158,59
15222,58
15265,57
15371,56
15499,55
15627,54
15734,53
15969,54
16779,53
17121,54
18017,55
18166,56
18251,57
18507,58
18913,59
19062,60
19147,61
19211,62
19318,63
19553,64
19638,63
19809,62
19915,61
20022,60
20193,59
20235,60
20619,59
20790,58
21131,59
21323,60
21387,61
21430,62
21473,63
21537,64
21558,65
21579,66
21601,67
21622,68
21665,69
21686,70
21707,71
21729,72
21750,73
21835,74
21942,75
22049,74
22091,75
22113,74
22134,75
22155,74
22177,75
22241,76
22326,77
22390,78
22411,79
22433,80
22475,81
22497,82
22518,83
22539,84
22561,86
22582,87
22603,89
22625,90
22646,92
22667,95
22689,97
22710,100
22731,103
22753,106
22774,109
22795,112
22817,115
22838,116
22859,119
22881,123
22902,126
22923,127
22945,129
22966,131
22987,134
23009,136
